sample,name,coprecipitant,test,number,new_names,days,pH,Fe2_mgL,FeTot_mgL,S_mgL,U_mgL,P_mgL,Ca_mgL,K_mgL,Mg_mgL,Na_mgL,Si_mgL
P28659_1001,USCH.1.1,USCH,treatment,1.1,USCH-9d-triplicate_1,9,5.1,119,124,697,0.24,2.08,188,414,123,147,4.55
P28659_1002,USCH.1.2,USCH,treatment,1.2,USCH-9d-triplicate_2,9,5,137,141,669,0.28,2.13,182,390,119,144,4.61
P28659_1003,USCH.1.3,USCH,treatment,1.3,USCH-9d-triplicate_3,9,5.5,109,112,642,0.27,1.68,198,417,120,152,5.02
P28659_1004,USCH.2.1,USCH,treatment,2.1,USCH-12d-triplicate_1,12,5.7,582,608,829,0.18,0.22,197,426,123,158,3.07
P28659_1005,USCH.2.2,USCH,treatment,2.2,USCH-12d-triplicate_2,12,5.6,689,719,936,0.16,0.44,191,422,126,154,2.63
P28659_1006,USCH.2.3,USCH,treatment,2.3,USCH-12d-triplicate_3,12,5.7,785,801,919,0.23,<0.1,185,427,124,151,4.29
P28659_1007,USCH.3.1,USCH,treatment,3.1,USCH-16d-triplicate_1,16,4.9,1295,1382,1280,0.64,<0.1,188,414,120,147,2.88
P28659_1008,USCH.3.2,USCH,treatment,3.2,USCH-16d-triplicate_2,16,5.8,870,936,1060,0.25,<0.1,199,427,121,155,2.39
P28659_1009,USCH.3.3,USCH,treatment,3.3,USCH-16d-triplicate_3,16,5.3,1412,1526,1220,0.56,<0.1,186,419,119,145,2.61
P28659_1010,USCH.4.1,USCH,treatment,4.1,USCH-22d-triplicate_1,22,5.8,1451,1567,1280,0.4,<0.1,199,409,127,157,2.3
P28659_1011,USCH.4.2,USCH,treatment,4.2,USCH-22d-triplicate_2,22,6,1360,1468,1240,0.39,<0.1,195,418,126,155,2.2
P28659_1012,USCH.4.3,USCH,treatment,4.3,USCH-22d-triplicate_3,22,6,1391,1503,1220,0.34,<0.1,192,427,125,152,2.26
P28659_1013,USCH.5.1,USCH,treatment,5.1,USCH-37d-triplicate_1,37,6.6,822,914,699,0.29,<0.1,177,396,113,147,3.26
P28659_1014,USCH.5.2,USCH,treatment,5.2,USCH-37d-triplicate_2,37,6.8,895,974,736,0.2,<0.1,182,406,116,151,3.51
P28659_1015,USCH.5.3,USCH,treatment,5.3,USCH-37d-triplicate_3,37,6.7,830,873,774,0.29,<0.1,178,426,123,155,3.08
P28659_1016,USCH.5.1.C,USCH,control,5.1.C,USCH-C-37d-triplicate_1,37C,4.9,10.3,25.6,584,0.37,2.03,181,405,120,146,6.21
P28659_1017,USCH.5.2.C,USCH,control,5.2.C,USCH-C-37d-triplicate-2,37C,4.7,9.18,35.9,575,0.84,1.49,195,415,121,151,6.18
P28659_1018,USCH.5.3.C,USCH,control,5.3.C,USCH-C-37d-triplicate_3,37C,5.1,8.76,21.4,587,0.22,2.13,197,426,122,154,6.23
P28659_1019,USCH.6.1,USCH,treatment,6.1,USCH-40d-triplicate_1,40,6.7,645,702,618,0.61,<0.1,172,417,119,149,3.36
P28659_1020,USCH.6.2,USCH,treatment,6.2,USCH-40d-triplicate_2,40,6.9,534,589,529,0.59,<0.1,161,407,115,146,2.66
P28659_1021,USCH.6.3,USCH,treatment,6.3,USCH-40d-triplicate_3,40,6.7,578,645,546,0.44,<0.1,158,408,113,146,3.02
P28659_1022,USCH.7.1,USCH,treatment,7.1,USCH-83d-triplicate_1,83,7,303,329,412,0.21,<0.1,154,419,117,151,2.94
P28659_1023,USCH.7.2,USCH,treatment,7.2,USCH-83d-triplicate_2,83,7.3,212,222,428,0.34,<0.1,131,402,113,148,2.53
P28659_1024,USCH.7.3,USCH,treatment,7.3,USCH-83d-triplicate_3,83,7.1,173,197,419,0.4,<0.1,118,418,113,150,2.67
P28659_1025,USCH.8.1,USCH,treatment,8.1,USCH-180d-triplicate_1,180,8,4.76,6.25,383,0.26,<0.1,68.2,372,90.6,138,1.08
P28659_1026,USCH.8.2,USCH,treatment,8.2,USCH-180d-triplicate_2,180,8.1,8.53,10.7,317,0.7,<0.1,104,392,101,142,1.3
P28659_1027,USCH.8.3,USCH,treatment,8.3,USCH-180d-triplicate_3,180,8.4,1.98,2.88,262,1.67,<0.1,71.7,379,89.1,140,0.99
P28659_1028,USCH.8.1.C,USCH,control,8.1.C,USCH-C-180d-triplicate_1,180C,2.7,40.5,55.7,680,27.4,0.79,211,444,126,160,11.8
P28659_1029,USCH.8.2.C,USCH,control,8.2.C,USCH-C-180d-triplicate_2,180C,2.7,39.3,50.6,719,26.2,0.79,199,436,128,154,12.3
P28659_1030,USCH.8.3.C,USCH,control,8.3.C,USCH-C-180d-triplicate_3,180C,2.8,38.3,47,705,25.7,0.85,194,422,125,150,12.1
P28659_1031,UJA-LPH.1.1,UJA-LPH,treatment,1.1,UJA-9d-triplicate_1,9,3.8,10.7,11,472,0.56,7.34,198,156,129,137,25.4
P28659_1032,UJA-LPH.1.2,UJA-LPH,treatment,1.2,UJA-9d-triplicate_2,9,3.9,10.2,10.3,455,0.12,6.66,210,157,127,142,26.1
P28659_1033,UJA-LPH.1.3,UJA-LPH,treatment,1.3,UJA-9d-triplicate_3,9,3.8,13.3,16.1,484,0.12,6.55,199,157,130,139,26
P28659_1034,UJA-LPH.2.1,UJA-LPH,treatment,2.1,UJA-16d-triplicate_1,16,4.1,70.9,76,535,0.11,4.34,205,168,134,139,26.8
P28659_1035,UJA-LPH.2.2,UJA-LPH,treatment,2.2,UJA-16d-triplicate_2,16,4,30.7,33,507,0.13,6.16,201,158,130,136,27
P28659_1036,UJA-LPH.2.3,UJA-LPH,treatment,2.3,UJA-16d-triplicate_3,16,4,12.1,12.5,492,0.12,6.78,204,160,132,141,27
P28659_1037,UJA-LPH.3.1,UJA-LPH,treatment,3.1,UJA-22d-triplicate_1,22,4,24.2,27.7,463,0.11,4.89,211,154,128,137,26.3
P28659_1038,UJA-LPH.3.2,UJA-LPH,treatment,3.2,UJA-22d-triplicate_2,22,3.9,45.5,49.2,494,0.18,5.36,199,162,129,135,27.3
P28659_1039,UJA-LPH.3.3,UJA-LPH,treatment,3.3,UJA-22d-triplicate_3,22,4,30.3,33.8,480,0.1,5.07,198,156,129,134,26.3
P28659_1040,UJA-LPH.4.1,UJA-LPH,treatment,4.1,UJA-58d-triplicate_1,58,4.4,35.7,36.8,500,0.21,3.52,203,157,132,133,27
P28659_1041,UJA-LPH.4.2,UJA-LPH,treatment,4.2,UJA-58d-triplicate_2,58,4.4,42.2,33.3,471,0.09,3.36,215,158,131,137,26.8
P28659_1042,UJA-LPH.4.3,UJA-LPH,treatment,4.3,UJA-58d-triplicate_3,58,4.2,111,119,525,0.18,4.22,208,176,134,138,28.1
P28659_1043,UJA-LPH.4.1.C,UJA-LPH,control,4.1.C,UJA-C-58d-triplicate_1,58C,4.3,1.29,1.45,494,0.1,10.5,194,156,128,131,24
P28659_1044,UJA-LPH.4.2.C,UJA-LPH,control,4.2.C,UJA-C-58d-triplicate_2,58C,4.3,1.2,1.36,463,0.11,10.1,201,155,125,134,23.8
P28659_1045,UJA-LPH.4.3.C,UJA-LPH,control,4.3.C,UJA-C-58d-triplicate_3,58C,4.3,1.16,1.3,474,0.1,10.4,208,159,128,138,23.4
P28659_1046,UJA-LPH.5.1,UJA-LPH,treatment,5.1,UJA-80d-triplicate_1,80,4.7,67.8,73.6,484,0.07,1.76,197,133,131,126,26.6
P28659_1047,UJA-LPH.5.2,UJA-LPH,treatment,5.2,UJA-80d-triplicate_2,80,4.5,37.7,40.8,451,0.08,2.59,214,129,132,134,25.9
P28659_1048,UJA-LPH.5.3,UJA-LPH,treatment,5.3,UJA-80d-triplicate_3,80,4.5,40.8,44.3,428,0.09,2.65,213,128,131,133,25
P28659_1049,UJA-LPH.6.1,UJA-LPH,treatment,6.1,UJA-144d-triplicate_1,144,3.8,43.6,43.9,493,0.12,3.19,220,160,134,139,27.2
P28659_1050,UJA-LPH.6.2,UJA-LPH,treatment,6.2,UJA-144d-triplicate_2,144,4.1,57.1,57.7,483,0.09,1.8,215,162,132,136,26.6
P28659_1051,UJA-LPH.6.3,UJA-LPH,treatment,6.3,UJA-144d-triplicate_3,144,3.8,58.8,60.3,513,0.14,2.77,202,155,131,131,27.5
P28659_1052,UJA-LPH.7.1,UJA-LPH,treatment,7.1,UJA-165d-triplicate_1,165,5.1,52,53.7,475,0.1,2.14,200,129,133,128,27
P28659_1053,UJA-LPH.7.2,UJA-LPH,treatment,7.2,UJA-165d-triplicate_2,165,5,75.6,78.3,471,0.11,2.67,195,133,130,124,25.8
P28659_1054,UJA-LPH.7.3,UJA-LPH,treatment,7.3,UJA-165d-triplicate_3,165,4.2,56.1,58.7,521,0.15,2.52,213,164,139,137,26.8
P28659_1055,UJA-LPH.8.1,UJA-LPH,treatment,8.1,UJA-180d-triplicate_1,180,4.4,76.1,78.9,500,0.1,1.32,194,155,127,125,26.5
P28659_1056,UJA-LPH.8.2,UJA-LPH,treatment,8.2,UJA-180d-triplicate_2,180,4.2,56.7,57.2,502,0.09,1.61,202,155,131,129,26.3
P28659_1057,UJA-LPH.8.3,UJA-LPH,treatment,8.3,UJA-180d-triplicate_3,180,5,163,169,495,0.07,1.47,193,153,129,128,25
P28659_1058,UJA-LPH.8.1.C,UJA-LPH,control,8.1.C,UJA-C-180d-triplicate_1,180C,3.8,4.42,4.6,486,0.12,8.82,194,154,129,127,24.4
P28659_1060,UJA-LPH.8.3.C,UJA-LPH,control,8.3.C,UJA-C-180d-triplicate_3,180C,3.7,4.35,4.46,500,0.12,9.27,199,158,133,131,24.9
